probe_id,mirna_name
aga-miR-309_st,aga-miR-309
aga-miR-315_st,aga-miR-315
aga-miR-317_st,aga-miR-317
aga-miR-34_st,aga-miR-34
aga-miR-375_st,aga-miR-375
aga-miR-79_st,aga-miR-79
aga-miR-7_st,aga-miR-7
aga-miR-87_st,aga-miR-87
aga-miR-8_st,aga-miR-8
aga-miR-927_st,aga-miR-927
aga-miR-929_st,aga-miR-929
aga-miR-92a_st,aga-miR-92a
aga-miR-92b_st,aga-miR-92b
aga-miR-957_st,aga-miR-957
aga-miR-965_st,aga-miR-965
aga-miR-970_st,aga-miR-970
aga-miR-981_st,aga-miR-981
aga-miR-988_st,aga-miR-988
aga-miR-989_st,aga-miR-989
aga-miR-993_st,aga-miR-993
aga-miR-996_st,aga-miR-996
aga-miR-9a_st,aga-miR-9a
aga-miR-9b_st,aga-miR-9b
aga-miR-9c_st,aga-miR-9c
aga-miR-iab-4_st,aga-miR-iab-4
age-miR-100_st,age-miR-100
age-miR-101_st,age-miR-101
age-miR-103_st,age-miR-103
age-miR-106a_st,age-miR-106a
age-miR-106b_st,age-miR-106b
age-miR-10a_st,age-miR-10a
age-miR-124a_st,age-miR-124a
age-miR-125b_st,age-miR-125b
age-miR-127_st,age-miR-127
age-miR-128_st,age-miR-128
age-miR-133a_st,age-miR-133a
age-miR-135_st,age-miR-135
age-miR-15a_st,age-miR-15a
age-miR-15b_st,age-miR-15b
age-miR-16_st,age-miR-16
age-miR-17-3p_st,age-miR-17-3p
age-miR-17-5p_st,age-miR-17-5p
age-miR-18_st,age-miR-18
age-miR-194_st,age-miR-194
age-miR-196_st,age-miR-196
age-miR-197_st,age-miR-197
age-miR-198_st,age-miR-198
age-miR-19a_st,age-miR-19a
age-miR-19b_st,age-miR-19b
age-miR-205_st,age-miR-205
age-miR-20_st,age-miR-20
age-miR-214_st,age-miR-214
age-miR-218_st,age-miR-218
age-miR-21_st,age-miR-21
age-miR-222_st,age-miR-222
age-miR-22_st,age-miR-22
age-miR-23a_st,age-miR-23a
age-miR-27a_st,age-miR-27a
age-miR-28_st,age-miR-28
age-miR-29a_st,age-miR-29a
age-miR-29b_st,age-miR-29b
age-miR-30b_st,age-miR-30b
age-miR-34a_st,age-miR-34a
age-miR-506_st,age-miR-506
age-miR-507_st,age-miR-507
age-miR-508_st,age-miR-508
age-miR-509a_st,age-miR-509a
age-miR-509b_st,age-miR-509b
age-miR-510_st,age-miR-510
age-miR-513a_st,age-miR-513a
age-miR-513b_st,age-miR-513b
age-miR-513c_st,age-miR-513c
age-miR-513d_st,age-miR-513d
age-miR-513e_st,age-miR-513e
age-miR-514_st,age-miR-514
age-miR-92_st,age-miR-92
age-miR-93_st,age-miR-93
age-miR-98_st,age-miR-98
age-miR-9_st,age-miR-9
ahy-miR156a_st,ahy-miR156a
ahy-miR156b-3p_st,ahy-miR156b-3p
ahy-miR156b-5p_st,ahy-miR156b-5p
ahy-miR156c_st,ahy-miR156c
ahy-miR159_st,ahy-miR159
ahy-miR160-3p_st,ahy-miR160-3p
ahy-miR160-5p_st,ahy-miR160-5p
ahy-miR167-3p_st,ahy-miR167-3p
ahy-miR167-5p_st,ahy-miR167-5p
ahy-miR3508_st,ahy-miR3508
ahy-miR3509-3p_st,ahy-miR3509-3p
ahy-miR3509-5p_st,ahy-miR3509-5p
ahy-miR3510_st,ahy-miR3510
ahy-miR3511-3p_st,ahy-miR3511-3p
ahy-miR3511-5p_st,ahy-miR3511-5p
ahy-miR3512_st,ahy-miR3512
ahy-miR3513-3p_st,ahy-miR3513-3p
ahy-miR3513-5p_st,ahy-miR3513-5p
ahy-miR3514-3p_st,ahy-miR3514-3p
ahy-miR3514-5p_st,ahy-miR3514-5p
ahy-miR3515_st,ahy-miR3515
ahy-miR3516_st,ahy-miR3516
ahy-miR3517_st,ahy-miR3517
ahy-miR3518_st,ahy-miR3518
ahy-miR3519_st,ahy-miR3519
ahy-miR3520-3p_st,ahy-miR3520-3p
ahy-miR3520-5p_st,ahy-miR3520-5p
ahy-miR3521_st,ahy-miR3521
ahy-miR394_st,ahy-miR394
ahy-miR398_st,ahy-miR398
ahy-miR408-3p_st,ahy-miR408-3p
ahy-miR408-5p_st,ahy-miR408-5p
aly-miR156a-star_st,aly-miR156a-star
aly-miR156a_st,aly-miR156a
aly-miR156b-star_st,aly-miR156b-star
aly-miR156b_st,aly-miR156b
aly-miR156c-star_st,aly-miR156c-star
aly-miR156c_st,aly-miR156c
aly-miR156d-star_st,aly-miR156d-star
aly-miR156d_st,aly-miR156d
aly-miR156e-star_st,aly-miR156e-star
aly-miR156e_st,aly-miR156e
aly-miR156f-star_st,aly-miR156f-star
aly-miR156f_st,aly-miR156f
aly-miR156g-star_st,aly-miR156g-star
aly-miR156g_st,aly-miR156g
aly-miR156h-star_st,aly-miR156h-star
aly-miR156h_st,aly-miR156h
aly-miR157a-star_st,aly-miR157a-star
aly-miR157a_st,aly-miR157a
aly-miR157b-star_st,aly-miR157b-star
aly-miR157b_st,aly-miR157b
aly-miR157c-star_st,aly-miR157c-star
aly-miR157c_st,aly-miR157c
aly-miR157d-star_st,aly-miR157d-star
aly-miR157d_st,aly-miR157d
aly-miR158a-star_st,aly-miR158a-star
aly-miR158a_st,aly-miR158a
aly-miR158b-star_st,aly-miR158b-star
aly-miR158b_st,aly-miR158b
aly-miR159a-star_st,aly-miR159a-star
aly-miR159a_st,aly-miR159a
aly-miR159b-star_st,aly-miR159b-star
aly-miR159b_st,aly-miR159b
aly-miR159c-star_st,aly-miR159c-star
aly-miR159c_st,aly-miR159c
aly-miR160a-star_st,aly-miR160a-star
aly-miR160a_st,aly-miR160a
aly-miR160b-star_st,aly-miR160b-star
aly-miR160b_st,aly-miR160b
aly-miR160c-star_st,aly-miR160c-star
aly-miR160c_st,aly-miR160c
aly-miR161.1-star_st,aly-miR161.1-star
aly-miR161.1_st,aly-miR161.1
aly-miR161.2-star_st,aly-miR161.2-star
aly-miR161.2_st,aly-miR161.2
aly-miR162a-star_st,aly-miR162a-star
aly-miR162a_st,aly-miR162a
aly-miR162b-star_st,aly-miR162b-star
aly-miR162b_st,aly-miR162b
