fluid,mirna,pvalue,log2fc,cohens_d,fluid_mean,other_mean,fluid_std,other_std,padj
saliva,bkv-miR-B1-3p/jcv-miR-J1-3p,0.2962698714842864,-0.34356803719678775,-1.1871814939806462,-4.292274580818477,-3.948706543621689,0.05650852877797652,0.40535080610713675,1.0
saliva,bkv-miR-B1-5p,0.794002680192762,0.04799716678573773,0.18018757977174338,-8.090065001821937,-8.138062168607675,0.18745131761426492,0.3267591041124555,1.0
saliva,ebv-miR-BART1-3p,0.19169460205188804,0.6961911961012914,0.9158738054876601,-5.109583838507368,-5.80577503460866,0.1666598910448629,1.0620011332372254,1.0
saliva,ebv-miR-BART1-5p,0.4334219309560736,-0.17387511945033918,-0.764394571247427,-7.490283052017981,-7.316407932567642,0.1126052653232903,0.3013357200883463,1.0
saliva,ebv-miR-BART10-3p,0.0367138563627041,1.4644190506585342,2.0309740904005023,-2.994894119787539,-4.459313170446073,0.02730293989168775,1.0193427846112173,1.0
saliva,ebv-miR-BART10-5p,0.06757726305587053,-1.7988245822972537,-1.715509921619316,-5.002449448202118,-3.203624865904864,1.0362699090915521,1.0607186462667333,1.0
saliva,ebv-miR-BART11-3p,0.0367138563627041,-0.7329919104887583,-2.1183645937546105,-6.219318284723251,-5.486326374234492,0.016912800950215967,0.48905074213626376,1.0
saliva,ebv-miR-BART11-5p,0.0367138563627041,-0.9101795449779562,-3.6936551134150943,-2.480441066826386,-1.57026152184843,0.14995904310454589,0.3145711312770598,1.0
saliva,ebv-miR-BART12,0.6015081344405899,-0.21226882077537734,-0.46575030932535855,-4.087799701919583,-3.875530881144206,0.40923832250305225,0.49794811170914427,1.0
saliva,ebv-miR-BART13-3p,1.0,-0.16886184266062543,-0.41241696880945933,-11.589971644297815,-11.42110980163719,0.5545236704756684,0.1667124135459755,1.0
saliva,ebv-miR-BART13-5p,0.3607653505845012,0.25744785689245875,0.6398904579450962,-2.8517226489021295,-3.109170505794588,0.22875937481971098,0.520970094662154,1.0
saliva,ebv-miR-BART14-3p,0.19169460205188804,-0.4713315799609461,-1.1348982584004612,-5.240508708754797,-4.769177128793851,0.2789830891860685,0.5168450578199215,1.0
saliva,ebv-miR-BART14-5p,0.4334219309560736,0.39552841063745525,0.943570847118107,-5.319747070604095,-5.71527548124155,0.18486648367384717,0.5632515978690137,1.0
saliva,ebv-miR-BART15,0.0367138563627041,-0.7570201478465806,-3.5855784694899766,-3.5525522168495702,-2.7955320690029897,0.13710769240657372,0.26524049423271245,1.0
saliva,ebv-miR-BART16,0.19169460205188804,-0.3527094204233805,-1.5797674385824771,-8.710344889960997,-8.357635469537616,0.22977226924411465,0.2165657382862724,1.0
saliva,ebv-miR-BART17-3p,0.11718508719813799,-0.45552481930990396,-1.8316511190757203,-6.103618964440129,-5.648094145130225,0.11790927207787627,0.33135642861941367,1.0
saliva,ebv-miR-BART17-5p,0.6015081344405899,0.35144186252370657,0.9108034559267757,-1.3392806897082652,-1.6907225522319718,0.19304006452797629,0.5104019264529263,1.0
saliva,ebv-miR-BART18-3p,0.06757726305587053,-0.5476225442174654,-2.0476733923846417,-7.071054006316854,-6.5234314620993885,0.2634348873342942,0.27137905471842655,1.0
saliva,ebv-miR-BART18-5p,0.794002680192762,-0.25957948386656593,-0.6066171690467466,-4.101858862739914,-3.8422793788733483,0.3286695775099513,0.5081296032968246,1.0
saliva,ebv-miR-BART19-3p,0.794002680192762,-0.18727402441800933,-0.24216679654101422,-11.951389407816432,-11.764115383398423,0.9849109487485164,0.4754139995856685,1.0
saliva,ebv-miR-BART19-5p,0.11718508719813799,-0.8229201820855874,-2.027745636428454,-5.367636889569111,-4.5447167074835235,0.23790445970159713,0.5223002798310653,1.0
saliva,ebv-miR-BART2-3p,0.11718508719813799,0.609693716563406,1.3855138293468923,-7.636500154701434,-8.24619387126484,0.35734753424206606,0.5094984358497443,1.0
saliva,ebv-miR-BART2-5p,0.6015081344405899,-0.3512998158360001,-0.6053484238913134,-4.172093723690929,-3.8207939078549287,0.6489044384609655,0.5024749187599259,1.0
saliva,ebv-miR-BART20-3p,0.794002680192762,-0.09782508238658494,-0.3575285584243458,-6.645195677166784,-6.547370594780199,0.22376637155048051,0.3156875975934611,1.0
saliva,ebv-miR-BART20-5p,0.5138908912577136,-0.25588052206245404,-0.7818078087549633,-2.316003338610395,-2.060122816547941,0.1930400645279764,0.42068687848106484,1.0
saliva,ebv-miR-BART21-3p,0.4334219309560736,0.20218639146241824,0.7944895234536384,-5.479691213499789,-5.6818776049622075,0.11129648228459388,0.3422561212014465,1.0
saliva,ebv-miR-BART21-5p,0.6015081344405899,0.1839587810573975,0.45644609663325625,-2.2312443504713153,-2.415203131528713,0.27779905266705607,0.4976791637090868,1.0
saliva,ebv-miR-BART22,0.0367138563627041,1.4170945148764964,3.307344933894529,-0.8633613244510647,-2.280455839327561,0.03287930072922424,0.6050538686277542,1.0
saliva,ebv-miR-BART3-3p,0.2962698714842864,0.11997842816588467,0.6097824408164215,-4.650919450423228,-4.770897878589112,0.10347296070818013,0.2583007729256041,1.0
saliva,ebv-miR-BART3-5p,0.0367138563627041,-0.9068609377704335,-3.99238764445073,-1.417481250360578,-0.5106203125901445,0.125,0.2959171985101525,1.0
saliva,ebv-miR-BART4-3p,0.3607653505845012,0.4962035142107437,0.7141651283435112,-2.716580553561454,-3.2127840677721977,0.8056165061177728,0.5625675830778432,1.0
saliva,ebv-miR-BART4-5p,0.06757726305587053,-0.2820179377038894,-1.5272338725040464,-5.962730588191482,-5.680712650487592,0.07443572388235564,0.2503146761592318,1.0
