fluid,mirna,pvalue,log2fc,cohens_d,fluid_mean,other_mean,fluid_std,other_std,padj,fdr,specificity_score,detection_rate,fluid_min,fluid_max,other_max,score
blood,hsa-miR-126_st,0.0010631149171586,8.896317428652576,15.831201073850403,10.163894033067104,1.2675766044145285,0.4244356270893517,0.6718826606932641,1.0,0.07068671929578063,3.330426603318254,1.0,9.35103922228962,10.5356007417278,2.80076280527029,418.77462348800645
blood,hsa-miR-3200-3p_st,0.0010631149171586,5.842566966487339,23.33061389249169,6.586114654635968,0.7435476881486294,0.2447301974696708,0.2559929785626699,1.0,0.07068671929578063,4.825790152283162,1.0,6.25617440576461,6.93144655963052,1.28847635475819,405.3088499233367
blood,hsa-miR-363_st,0.0010631149171586,7.620079615502625,13.053663605417777,8.712360994046174,1.092281378543548,0.3829362238330926,0.7313607844375758,1.0,0.07068671929578063,2.3956817472660976,1.0,8.04177803066532,9.14728734510911,3.35095478452171,295.76593125953036
blood,hsa-miR-486-5p_st,0.0010631149171586,11.663193744311904,8.36483814687566,13.78841845882584,2.125224714513935,0.5623672264448949,1.889961560803348,1.0,0.07068671929578063,1.6319937758184704,1.0,13.2379513216493,14.8430617043179,8.10764819078752,290.0889950212213
blood,hsa-miR-200c_st,0.0010631149171586,-6.4336900298770585,-13.643204921719397,5.968156154519282,12.40184618439634,0.2107070447178517,0.6327353932968075,1.0,0.07068671929578063,0.4282457655606224,1.0,5.61551789065307,6.18384215990813,13.1261903445528,260.9953421387891
blood,hsa-miR-584_st,0.0010631149171586,6.83690588430793,11.654448976042575,8.05131915480116,1.2144132704932298,0.3563159170106402,0.749212822353993,1.0,0.07068671929578063,2.5066783888755495,1.0,7.60351570051726,8.51924830949727,3.0272925917842,236.92318794364428
blood,hsa-miR-18b_st,0.0010631149171586,6.160899190451085,12.188757928788316,7.379856803010638,1.2189576125595525,0.2446894048368982,0.6716410328344226,1.0,0.07068671929578063,2.335529702539843,1.0,6.99531298809452,7.7184438723362,2.98945360595345,223.28511679770602
blood,hsa-miR-331-5p_st,0.0010631149171586,5.254645838049641,14.270150778344195,6.515932076017322,1.2612862379676804,0.0665949813385826,0.5164750036570537,1.0,0.07068671929578063,2.7315825506415545,1.0,6.40174988946754,6.57840263153096,2.33726564934369,222.96065586620756
blood,hsa-miR-151b_st,0.0010631149171586,6.786966852116072,9.47852275980378,7.78672105068979,0.999754198573718,0.1192481994207997,1.00558240813045,1.0,0.07068671929578063,1.6371592741059733,1.0,7.56531913170368,7.92489170382906,4.61711188307591,191.28134050836465
blood,hsa-miR-451_st,0.0010631149171586,7.454890432349383,8.236420781883341,9.969475341630206,2.5145849092808232,0.2115205954958434,1.262425302241222,1.0,0.07068671929578063,2.003412638710646,1.0,9.69477265721335,10.1566225056847,4.83412071167682,182.57277301124643
blood,hsa-miR-1304_st,0.0010631149171586,3.551373686179547,15.786842933832908,4.463748488052806,0.9123748018732588,0.2217324982992543,0.2281375372822197,1.0,0.07068671929578063,3.027408119792042,1.0,4.16768443350473,4.79543450943106,1.36995416151282,166.70471444116637
blood,hsa-miR-3200-5p_st,0.0010631149171586,6.190407558750525,8.94023552144469,7.7917535982066095,1.6013460394560843,0.5347025462226392,0.8203579087274366,1.0,0.07068671929578063,2.1326774882252733,1.0,6.89143084617688,8.54478990705361,3.22604055666193,164.56005506481623
blood,hsa-miR-19a_st,0.0010631149171586,5.449971035881168,9.466827182079095,6.676941186362663,1.2269701504814954,0.5918857320549675,0.559028144589216,1.0,0.07068671929578063,2.0669921970890894,1.0,5.7563359813784,7.6177692011293,2.77972314917252,153.41042202115565
blood,hsa-miR-18a_st,0.0010631149171586,8.148214533310828,5.707584158575172,10.193111859676485,2.0448973263656556,0.2174910814565801,2.007199185816084,1.0,0.07068671929578063,1.3653843277978834,1.0,9.88548672580533,10.4655533228899,7.2374002552563,138.28370284807224
blood,hsa-miR-362-5p_st,0.0010631149171586,7.217686257769425,6.413124489748248,8.902052677108625,1.6843664193391996,0.4236649541313763,1.5342125640458026,1.0,0.07068671929578063,1.3301648819676273,1.0,8.2659442666359,9.54335933428917,6.21174316795511,137.63341686525894
blood,hsa-miR-501-5p_st,0.0010631149171586,5.427629057352228,7.862008597141564,6.61508633130361,1.187457273951382,0.3262212400558359,0.920205443570878,1.0,0.07068671929578063,1.4352848051741058,1.0,6.16186965589411,7.02531980065539,4.29010102081826,126.88196461986067
blood,hsa-miR-4732-3p_st,0.0010631149171586,4.400582316044916,9.615234124658658,5.382536727378212,0.9819544113332964,0.3908091497232464,0.515933812990462,1.0,0.07068671929578063,1.7860443533650396,1.0,4.60923394409775,5.64784476337536,2.57629296377482,125.81320737555568
blood,hsa-miR-17-star_st,0.0010631149171586,5.210475394775319,7.944791514526752,6.300903711548692,1.0904283167733728,0.3151551033468033,0.872305773793006,1.0,0.07068671929578063,1.4099895196739665,1.0,5.82645002862836,6.6334443240353,4.12935702868056,123.08810222135442
blood,hsa-miR-18a-star_st,0.0010631149171586,5.486809677146367,7.403045160759931,7.236069209994085,1.7492595328477178,0.0822616125798907,1.0449195156539466,1.0,0.07068671929578063,1.9677576131124377,1.0,7.09767277247014,7.35534823037711,3.6020672206308,120.77763354033824
blood,hsa-miR-194_st,0.0010631149171586,7.524473147513575,5.384582113527029,9.906565831295056,2.382092683781479,0.2202174551754665,1.9639292520290357,1.0,0.07068671929578063,1.3025059666919694,1.0,9.59771044927713,10.203521166974,7.36632739885119,120.4715012311697
